Pressure (Pa),Energy Flux (W)
143000000,180.81466775372
148000000,188.06389477361
153000000,195.32917139657
158000000,202.6094769628
163000000,209.90388412122
168000000,217.20830181431
173000000,224.52315128305
178000000,231.84759918303
183000000,239.1803798894
188000000,246.52327386724
193000000,253.86904671377
198000000,261.23728530336
203000000,268.59405792363
208000000,275.96508009562
213000000,283.33922735683
218000000,290.72267611243
223000000,298.1026236723
228000000,305.49454711
233000000,312.89018470035
238000000,320.28557953429
243000000,327.67418720271
248000000,335.08600598238
253000000,342.49170241373
258000000,349.89947557764
263000000,357.30905974715
268000000,364.72020449701
273000000,372.12874041919
278000000,379.54491744392
283000000,386.97280923746
288000000,394.37857600731
293000000,401.79701047537
298000000,409.2088915717
303000000,416.63346246011
308000000,424.04828567746
313000000,431.42312268941
318000000,438.8873638805
323000000,446.30423712244
328000000,453.72647429955
333000000,461.13923408804
338000000,468.55717328267
343000000,475.97125352853
348000000,483.43349510263
353000000,490.78866767843
358000000,498.21183330353
363000000,505.62768536648
368000000,513.03438919598
373000000,520.44758164142
378000000,527.85935894304
383000000,535.26802816161
388000000,542.6620901041
393000000,550.07233211558
398000000,557.47267641753
403000000,564.87618073923
408000000,572.27619682133
413000000,579.67431968323
418000000,587.06371145611
423000000,594.45784727806
428000000,601.84994005358
433000000,609.23994440449
438000000,616.62781716462
443000000,624.01351728086
448000000,631.39700571242
453000000,638.77824534127
458000000,646.1643276964
463000000,653.54100533041
468000000,660.91533283983
473000000,668.28546792532
478000000,675.65864018735
483000000,683.02025877814
488000000,690.38487993425
493000000,697.76182005607
498000000,705.12151572615
503000000,712.47680772573
508000000,719.82952955932
513000000,727.18910014185
518000000,734.5385598196
523000000,741.87398795904
528000000,749.11243781427
533000000,756.59046518746
538000000,763.91979135205
543000000,771.25414116349
548000000,778.5955330234
553000000,785.92254960048
558000000,793.2664833808
563000000,800.59005048335
568000000,807.91087409701
573000000,815.23889057319
578000000,822.54425602639
583000000,829.90700434114
588000000,837.190668754
593000000,844.50782127969
598000000,851.81007966164
603000000,859.12988648518
608000000,866.4265721568
613000000,873.73274254529
618000000,880.90196250279
623000000,888.32651219088
628000000,895.62647132623
633000000,902.90912293318
638000000,910.20980200766
643000000,917.48682349861
